Bicep Circumference,Hand Length,Hand Breadth,Weight,Grip Strength
41,19,9,250,70
42,19,9,190,55
40,18,9,190,51
28,17,8,170,29
28,16,8,160,38
38,18,8,180,47
37,18,9,160,62
35,17,9,140,47
31,18,9,140,38
37,17,9,210,50
35,19,9,177,49
34,18,10,185,59
27,17,9,160,44
28,15,7,130,28
29,17,9,160,43
36,18,10,220,67
35,18,10,176,53
38,18,9,198,47
34,18,10,211,47
31,18,9,160,35
35,18,9,165,39
30,16,8,175,29
27,16,8,131,27
